category,region,amount,quantity
Food,North,3.03455325,5
Books,West,598.115239,10
Books,South,670.0180866,69
Food,South,465.1967313,95
Clothing,East,19.69132557,64
Clothing,East,410.9042949,28
Electronics,West,384.9456983,29
Clothing,South,920.5318133,76
Clothing,North,519.597952,80
Food,North,299.467218,22
Food,North,569.143314,7
Books,West,366.7767598,83
Food,West,857.0384542,54
Clothing,East,816.6396787,54
Food,West,275.8011523,32
Books,East,208.8710319,54
Clothing,West,148.1802449,93
Clothing,East,326.1537522,11
Clothing,West,925.921781,15
Electronics,South,489.6394229,72
Books,East,898.7756944,14
Electronics,East,499.4294727,17
Food,South,805.5638848,21
Books,South,989.9638283,84
Books,West,248.7778364,15
Electronics,South,226.9256144,75
Electronics,South,730.3017758,9
Electronics,South,291.9309041,45
Clothing,South,971.6473515,1
Clothing,East,552.8789513,71
Food,South,625.7340971,53
Food,North,321.7410944,48
Clothing,North,791.7279685,1
Clothing,East,871.6391988,28
Food,South,363.8023838,23
Clothing,West,872.6211718,69
Electronics,North,116.4671756,42
Books,South,420.7645145,95
Books,North,901.2749688,40
Electronics,West,723.2026507,77
Electronics,East,362.5222539,90
Electronics,West,774.0222745,58
Food,East,801.4958803,3
Electronics,West,244.5972753,46
Clothing,East,557.4303252,82
Food,West,50.07463072,10
Food,North,952.8805302,75
Books,East,540.4787936,25
Food,North,842.9928395,37
Electronics,West,272.8400552,25
Food,East,718.8854753,31
Books,West,628.6486872,92
Food,North,865.7742306,85
Electronics,South,925.3020212,50
Electronics,North,742.5412744,68
Clothing,South,875.7402986,48
Electronics,East,27.51164585,99
Clothing,South,390.6212535,39
Food,West,431.7312667,91
Clothing,East,468.8217789,21
Books,North,74.79857367,2
Electronics,East,288.6774402,19
Food,North,900.2712867,84
Electronics,South,230.1804529,39
Electronics,West,883.0071815,65
Electronics,South,612.7369018,96
Food,South,364.1381464,31
Clothing,West,342.6014226,79
Electronics,North,662.9534205,65
Food,North,356.4807329,10
Clothing,South,765.1634137,36
Electronics,North,669.2791559,5
Books,North,435.8036196,42
Electronics,East,971.398378,28
Food,North,27.21054163,12
Food,West,157.7126556,30
Books,West,721.227352,51
Food,East,874.1161474,27
Food,East,462.4482853,12
Clothing,West,545.8162245,28
Books,South,868.6845091,88
Electronics,South,521.6503963,87
Clothing,West,164.2532757,19
Clothing,West,671.7400687,68
Books,South,22.45045891,63
Electronics,East,569.9386564,74
Books,West,977.1571606,83
Food,East,455.326822,37
Clothing,West,364.9094971,25
Books,East,827.1272773,79
Food,South,368.4183337,85
Electronics,North,124.2135862,19
Clothing,North,962.8912227,42
Clothing,West,344.3999704,29
Electronics,West,698.2854675,82
Books,North,166.6256319,43
Food,North,213.6148782,13
Books,West,237.3618413,97
Food,North,315.6728729,21
Books,West,530.6415297,61
Electronics,North,32.84274881,98
Clothing,South,295.1598092,54
Electronics,West,811.8216718,24
Food,East,723.3316071,27
Electronics,South,382.5735749,73
Books,North,275.3340359,25
Clothing,West,391.9132374,90
Clothing,South,793.8562176,28
Clothing,South,392.3669697,21
Food,East,39.21718193,97
Electronics,East,169.5776763,88
Food,West,474.4574672,69
Books,East,226.3063556,56
Electronics,East,888.0604218,87
Books,West,985.8356586,50
Clothing,North,120.5828861,67
Books,West,677.5412314,39
Clothing,North,839.2371035,91
Electronics,South,479.7114874,75
Food,West,446.566706,81
Books,East,968.3031014,73
Clothing,South,406.1507139,82
Food,North,182.7105675,49
Food,East,860.6144586,43
Food,West,583.6943025,40
Food,East,803.3524532,22
Clothing,West,799.0447828,2
Food,East,379.6613635,77
Clothing,West,972.4102123,8
Electronics,North,351.6615405,31
Food,West,287.0689496,40
Books,South,141.0480397,3
Clothing,South,263.5856422,23
Electronics,South,779.6684297,19
Food,West,99.0189318,19
Books,North,98.41118925,50
Electronics,North,764.1897464,37
Food,West,739.3927769,20
Clothing,South,505.652936,99
Food,West,55.87147596,87
Electronics,South,304.1474481,96
Food,North,61.63178435,75
Books,West,374.6906267,70
Books,South,356.0735787,78
Electronics,South,370.9986858,86
Clothing,West,172.4913738,54
Food,East,950.3220823,6
Clothing,West,415.5053142,32
Food,East,532.8738736,2
Electronics,South,788.6814416,23
Books,South,747.1626728,23
Books,West,729.947137,91
Books,South,182.1247175,54
Food,North,217.3389969,8
Food,North,835.4441191,70
Clothing,North,250.1505024,43
Food,South,825.803042,39
Books,East,640.8538554,29
Books,North,196.7444194,53
Electronics,West,579.7638484,89
Electronics,West,432.4172268,19
Electronics,South,959.3810041,65
Clothing,North,516.2853847,35
Electronics,West,701.0150895,14
Books,North,101.51059,96
Electronics,East,483.8543407,31
Clothing,North,495.0294984,66
Clothing,North,85.17989584,67
Electronics,East,396.1939371,64
Electronics,South,729.9505881,28
Clothing,South,618.0391103,79
Books,North,722.7609941,37
Electronics,South,413.4734426,67
Books,North,650.1674653,73
Electronics,North,590.6033624,16
Books,South,314.7527678,53
Clothing,South,37.11083155,46
Clothing,South,602.222086,35
Books,South,579.8992764,18
Electronics,West,667.7576687,38
Books,South,974.3926366,80
Books,West,361.2283192,90
Clothing,South,297.6851348,23
Books,West,152.8561818,24
Clothing,West,287.775436,43
Clothing,South,269.2035485,23
Food,South,505.9550606,16
Clothing,East,467.7373004,39
Electronics,North,161.7860679,1
Clothing,South,227.4537215,42
Food,South,553.0896146,9
Clothing,West,159.4648709,2
Food,North,283.1698745,71
Clothing,West,145.2266643,79
Food,East,825.8708891,84
Electronics,West,671.6541896,24
Electronics,East,226.7052841,63
Food,East,835.2703792,86
Books,East,827.4312207,17
Electronics,West,492.9458162,73
Food,West,997.0946496,17
Clothing,East,888.9648085,1
Electronics,North,948.1488734,49
Clothing,North,579.1166223,43
Books,East,866.9498688,76
Clothing,South,411.3979444,35
Electronics,South,870.5070826,7
Books,West,851.5155989,40
Clothing,West,659.9664675,57
Electronics,West,87.80457053,98
Clothing,West,778.7774866,27
Clothing,West,402.6743767,64
Electronics,South,885.4322606,82
Electronics,South,729.5141475,59
Electronics,North,562.2061542,11
Books,East,708.0205982,71
Clothing,North,657.4676958,98
Food,South,236.8727985,10
Books,South,618.0568532,7
Books,West,35.02041304,38
Electronics,East,723.8661841,95
Clothing,West,460.3401774,44
Food,West,741.7145926,49
Books,North,836.3635652,30
Food,East,22.24990262,88
Clothing,South,644.0638366,6
Books,South,503.528623,3
Books,West,435.7684142,39
Food,East,692.5410671,14
Electronics,South,25.12295738,17
Clothing,North,399.3429381,26
Books,South,230.3366542,4
Food,West,580.0831771,62
Electronics,South,452.9481032,14
Electronics,East,497.1944029,57
Food,South,790.9813217,92
Clothing,West,995.2804157,13
Clothing,South,620.1940226,60
Food,North,434.4831827,12
Electronics,East,593.5837471,95
Clothing,West,914.568143,64
Clothing,East,709.9918815,28
Food,South,392.8461275,73
Books,West,390.7079215,86
Food,South,338.0893592,86
Books,West,561.7827188,37
Food,South,938.0386907,16
Clothing,South,654.7431435,23
Clothing,East,458.0657801,96
Electronics,North,478.1816026,54
Electronics,North,12.3299803,30
Books,South,324.8456941,52
Food,North,104.8959575,88
Books,West,619.9685465,70
Food,East,363.6831456,64
Clothing,East,250.578746,1
Books,West,161.8311301,91
Food,West,727.9812408,86
Books,North,109.7293992,91
Books,East,94.87958239,6
Electronics,South,868.5594648,37
Electronics,West,318.8776632,24
Books,South,462.9065119,83
Electronics,East,281.6610753,65
Electronics,North,461.435902,68
Books,North,406.1041105,26
Electronics,East,492.689101,35
Clothing,West,17.09642768,50
Clothing,South,335.8809446,19
Clothing,South,952.9774878,6
Electronics,West,620.6911076,7
Books,East,951.1696501,27
Food,South,400.0672039,89
Electronics,South,162.2296022,2
Clothing,East,498.1166043,10
Electronics,South,118.0587467,81
Food,West,859.1052566,32
Electronics,East,564.7644486,8
Electronics,South,107.40628,93
Food,West,735.189325,55
Clothing,North,427.4090548,64
Books,East,218.8969695,20
Food,South,381.6216478,44
Food,South,672.8762892,84
Food,North,736.7776803,23
Electronics,West,456.4838349,4
Electronics,South,191.0803851,32
Books,East,250.3031735,26
Food,North,595.1684809,39
Books,South,828.3807157,37
Food,West,567.1006212,1
Books,East,949.8602559,86
Clothing,West,852.127307,87
Books,North,705.3015635,99
Clothing,East,390.5141175,99
Food,South,58.58111528,94
Clothing,East,280.1649612,56
Electronics,South,520.8793002,66
Food,North,732.1678413,78
Food,South,857.5267152,33
Clothing,East,723.5022599,56
Electronics,North,713.9981055,75
Books,North,808.0067253,38
Electronics,West,312.4103758,77
Books,West,132.7530346,43
Clothing,North,598.9760467,43
Electronics,North,705.3637981,97
Electronics,West,250.2355995,58
Clothing,South,666.5699445,94
Clothing,North,267.0411226,55
Books,North,85.92637669,40
Food,South,216.5940309,27
Food,East,221.995973,77
Food,South,37.75187075,69
Clothing,North,747.9918978,97
Clothing,East,892.3072521,36
Electronics,West,7.222258115,27
Electronics,West,358.7715349,78
Food,South,941.673961,3
Electronics,North,596.57486,61
Electronics,West,291.5630172,24
Food,East,739.4770808,9
Books,North,291.3937989,89
Food,East,899.9843938,93
Clothing,West,354.5692353,50
Electronics,East,988.7714786,37
Clothing,East,997.7543198,74
Clothing,North,866.7588656,82
Clothing,South,47.39507836,71
Clothing,East,577.421725,98
Clothing,North,506.662697,68
Electronics,West,485.9733143,91
Books,South,773.1982274,47
Books,South,152.21722,83
Electronics,South,696.8043897,51
Books,South,544.5794384,47
Electronics,North,879.5215485,35
Food,North,803.4400809,48
Books,East,436.4270881,8
Food,West,755.463423,72
Electronics,West,307.3797737,16
Books,West,580.088302,22
Books,West,239.6353228,38
Clothing,North,217.627371,33
Books,West,462.2263875,66
Food,North,772.4741846,35
Clothing,South,153.963022,1
Books,West,355.7662033,13
Clothing,East,437.180266,8
Food,South,980.5074468,92
Electronics,West,174.2389031,51
Food,South,236.681073,84
Food,North,262.7693992,17
Clothing,North,308.6851988,5
Books,East,220.9257135,15
Books,East,298.9097318,77
Clothing,South,937.8538093,37
Clothing,South,484.3466858,78
Clothing,East,270.446766,63
Books,North,361.9951998,14
Books,South,95.02887531,45
Food,East,460.5531701,31
Clothing,West,942.8214958,79
Electronics,West,167.40229,17
Electronics,South,521.6451071,64
Food,East,5.236069482,49
Clothing,South,326.9788612,71
Food,South,64.55709027,41
Electronics,West,502.0144529,80
Food,West,694.2697827,52
Books,South,558.4699751,2
Clothing,East,290.0128079,55
Food,East,635.4987004,31
Food,West,903.083231,40
Clothing,East,474.9103126,5
Books,North,236.959228,49
Electronics,East,112.7500383,5
Books,West,690.9070632,71
Food,South,137.036277,55
Books,East,279.5986242,51
Food,South,437.472524,32
Books,East,272.9499805,79
Food,North,93.18916049,87
Electronics,South,835.1016255,14
Clothing,South,864.2069124,83
Electronics,South,117.250901,3
Electronics,East,393.2108724,99
Food,North,273.806681,23
Electronics,West,623.9404939,32
Food,West,415.2788883,20
Food,South,993.2246605,23
Clothing,East,818.1107745,3
Electronics,East,201.6837863,73
Clothing,South,554.6090154,7
Books,South,342.621892,6
Clothing,South,405.9632559,70
Clothing,East,858.3405571,92
Books,East,389.6956979,90
Food,North,188.4822135,99
Clothing,South,584.4489655,32
Clothing,East,295.6220165,23
Books,East,310.6996815,91
Food,North,403.5437958,33
Food,East,949.9427466,66
Books,South,597.1181259,14
Books,North,898.8379641,75
Electronics,West,597.921482,16
Clothing,West,880.795535,10
Electronics,East,346.6696016,90
Electronics,East,27.32401821,25
Clothing,West,547.9802445,68
Books,West,963.0944731,64
Food,North,367.0176277,6
Books,West,37.06222184,38
Electronics,West,136.7800316,5
Electronics,South,944.3094505,87
Books,South,210.1533037,43
Food,East,881.964811,8
Food,East,698.9084893,10
Food,North,169.3255168,23
Electronics,North,811.3595136,53
Food,West,802.5420831,64
Electronics,North,631.3940413,17
Electronics,South,989.0872014,57
Books,West,606.2169771,32
Clothing,North,222.4200514,83
Food,South,54.59779516,20
Electronics,South,337.6206403,90
Electronics,West,627.763827,64
Electronics,North,683.2035764,57
Electronics,East,767.7460599,53
Food,West,970.937922,12
Electronics,North,365.5491857,39
Clothing,West,345.6482259,18
Food,North,928.6196842,88
Books,West,330.7766935,61
Books,East,582.387849,8
Food,East,267.111402,47
Electronics,East,822.8208705,74
Food,West,991.2431539,16
Books,North,243.3313208,69
Clothing,West,822.4610098,36
Electronics,North,414.5138339,3
Electronics,North,195.3199369,87
Food,South,701.5184366,5
Food,South,103.9549355,82
Books,North,25.6206338,16
Books,West,0.145083807,27
Books,West,444.4817232,77
Clothing,South,592.6375649,82
Food,South,882.7725439,49
Books,South,105.954745,84
Books,North,313.4020554,74
Food,West,395.0473198,5
Books,West,57.60846829,15
Books,North,414.3486209,93
Electronics,North,565.6393023,37
Food,North,743.6349987,7
Clothing,North,185.9381309,41
Electronics,West,90.04725976,86
Food,West,938.2787344,24
Food,West,671.6877453,72
Clothing,South,704.7865753,53
Books,West,104.7420555,13
Clothing,South,219.9703215,50
Books,North,859.573695,31
Electronics,South,199.7522314,17
Books,South,69.56640464,52
Clothing,West,994.3962926,44
Books,South,837.7251399,35
Books,North,360.2474967,23
Books,North,553.7755562,75
Clothing,West,223.0535478,53
Clothing,South,994.2652262,91
Food,East,488.5813301,11
Books,East,67.57879274,42
Books,North,83.0889168,16
Books,North,314.7928564,15
Clothing,North,325.5062816,66
Books,West,719.6169186,46
Clothing,South,176.7667054,53
Books,West,841.9742131,57
Electronics,South,33.79557215,13
Food,West,952.1313706,96
Books,South,34.69523298,14
Food,East,402.958807,62
Clothing,West,139.8035277,71
Electronics,North,514.9095021,34
Books,North,753.6732268,38
Clothing,South,907.8874806,3
Books,North,417.2089885,18
Electronics,East,716.8013757,26
Electronics,West,848.0078543,66
Clothing,West,254.9347983,60
Electronics,East,325.09359,85
Books,West,543.493486,48
Books,North,219.7688389,49
Food,West,399.5239315,9
Food,South,347.0844452,17
Food,West,691.5812789,82
Electronics,East,447.6141142,70
Food,East,569.0973004,59
Clothing,South,889.1847726,36
Food,South,487.1847824,97
Books,East,831.8009801,52
Electronics,West,459.6811851,27
Clothing,North,814.1328932,1
Food,West,755.3849762,16
Food,North,800.0193976,77
Clothing,South,355.1578763,11
Food,South,14.52034401,47
Food,West,539.8725897,13
Food,East,818.790221,43
Electronics,South,984.627221,79
Electronics,North,462.9222121,90
Food,South,354.9799806,54
Clothing,East,218.0503383,92
Food,West,670.9352643,32
Clothing,South,109.4211179,58
Clothing,West,450.3868916,59
Electronics,North,767.961721,97
Clothing,West,802.7078712,42
Clothing,West,54.10463809,11
Clothing,South,885.5097193,72
Food,North,849.9362092,5
Electronics,South,812.5315405,21
Electronics,North,551.803409,85
Food,North,750.1091364,51
Books,South,762.6114953,57
Electronics,West,751.7685775,81
Food,East,797.4959737,62
Clothing,North,801.3168352,56
Books,West,611.0523201,56
Books,West,997.9649197,48
Food,North,597.5230148,44
